Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","10u","CASE-A_3216",56.125000,-22.975000,-90.000000,top
"C2","100n","C_0603_1608Metric",52.525000,-22.125000,-90.000000,top
"C3","18p","C_0603_1608Metric",55.800000,-29.825000,90.000000,top
"C4","18p","C_0603_1608Metric",51.025000,-43.850000,-90.000000,top
"C5","10u","CASE-A_3216",21.125000,-22.875000,90.000000,top
"C6","10u","CASE-A_3216",33.750000,-44.075000,-90.000000,top
"C7","100n","C_0603_1608Metric",31.575000,-38.000000,90.000000,top
"C8","100n","C_0603_1608Metric",36.450000,-30.500000,90.000000,top
"C9","100n","C_0603_1608Metric",45.300000,-44.000000,180.000000,top
"C10","100n","C_0603_1608Metric",51.050000,-34.625000,-90.000000,top
"C11","100n","C_0603_1608Metric",47.475000,-29.400000,90.000000,top
"C12","100n","C_0603_1608Metric",33.475000,-39.650000,90.000000,top
"C13","100n","C_0603_1608Metric",41.975000,-24.625000,90.000000,top
"D1","green","LED_0805_2012Metric",23.345000,-21.745000,90.000000,top
"D2","red","LED_0805_2012Metric",25.470000,-21.745000,90.000000,top
"D3","yellow","LED_0805_2012Metric",27.595000,-21.745000,90.000000,top
"D4","yellow","LED_0805_2012Metric",29.695000,-21.745000,90.000000,top
"J1","20-pin JTAG Edge Connector","PinHeader_2x10_P2.54mm_Vertical",59.175000,-22.000000,0.000000,top
"J2","USB_Mini_B","U-M-M5SS-W-2",29.075000,-33.550000,-90.000000,top
"J3","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",39.200000,-24.525000,180.000000,top
"Q1","BC846","SOT-23",53.200000,-29.450000,90.000000,top
"R1","1k","R_0603_1608Metric",54.175000,-22.150000,-90.000000,top
"R2","22","R_0603_1608Metric",32.325000,-31.575000,0.000000,top
"R3","22","R_0603_1608Metric",33.900000,-35.525000,0.000000,top
"R4","1k5","R_0603_1608Metric",33.900000,-37.050000,0.000000,top
"R5","1k","R_0603_1608Metric",49.050000,-29.400000,-90.000000,top
"R6","10M","R_0603_1608Metric",51.050000,-40.800000,-90.000000,top
"R7","330","R_0603_1608Metric",51.050000,-37.700000,-90.000000,top
"R8","390","R_0603_1608Metric",23.345000,-25.045000,90.000000,top
"R9","390","R_0603_1608Metric",25.520000,-25.045000,90.000000,top
"R10","390","R_0603_1608Metric",27.595000,-25.045000,90.000000,top
"R11","390","R_0603_1608Metric",29.695000,-25.020000,90.000000,top
"R12","1k","R_0603_1608Metric",49.450000,-43.875000,90.000000,top
"R13","10k","R_0603_1608Metric",47.800000,-43.925000,90.000000,top
"R14","1k","R_0603_1608Metric",34.900000,-30.475000,90.000000,top
"R15","100","R_0603_1608Metric",50.650000,-29.450000,90.000000,top
"S1","SW_Push","JPM1040-2013FC",34.025000,-24.300000,90.000000,top
"U1","TXS0108EPW","TSSOP-20_4.4x6.5mm_P0.65mm",46.775000,-23.625000,180.000000,top
"U2","USBLC6-2","USBLC6-2P6",33.775000,-33.575000,0.000000,top
"U3","NCP1117","NCP1117DT12G",25.775000,-43.375000,180.000000,top
"U4","STM32F103RB","LQFP-64_10x10mm_P0.5mm",42.500000,-36.250000,180.000000,top
"X1","8 MHz","C08000J060",54.500000,-38.635000,-90.000000,top
